Time,0-sgen-0-16.p_mw,0-sgen-1-17.p_mw,0-sgen-10-35.p_mw,0-sgen-11-37.p_mw,0-sgen-12-39.p_mw,0-sgen-13-40.p_mw,0-sgen-14-43.p_mw,0-sgen-15-45.p_mw,0-sgen-16-50.p_mw,0-sgen-17-53.p_mw,0-sgen-18-55.p_mw,0-sgen-19-57.p_mw,0-sgen-2-20.p_mw,0-sgen-20-63.p_mw,0-sgen-21-65.p_mw,0-sgen-22-67.p_mw,0-sgen-23-71.p_mw,0-sgen-24-80.p_mw,0-sgen-3-22.p_mw,0-sgen-4-23.p_mw,0-sgen-5-25.p_mw,0-sgen-6-28.p_mw,0-sgen-7-30.p_mw,0-sgen-8-32.p_mw,0-sgen-9-33.p_mw
1483270200000,4.47580018361276,0.002340134361782,0.035102015426723,0.034321970639463,4.47580018361276,0.035882060213984,8.95160036722552,0.010140582234387,0.025741477979597,0.025741477979597,8.025862,0.012480716596168,0.031981836277681,0.024961433192336,0.021841254043294,0.019501119681513,0.064743717342623,0.000780044787261,4.47580018361276,4.47580018361276,0.064743717342623,0.034321970639463,0.038222194575765,0.663614,0.064743717342623
1483271100000,4.569732326607509,0.002362527992038,0.035437919880567,0.034650410549888,4.569732326607509,0.036225429211247,9.139464653215018,0.010237621298831,0.025987807912416,0.025987807912416,7.543103,0.012600149290868,0.03228788255785,0.025200298581737,0.02205026125902,0.019687733266982,0.06536327444638,0.000787509330679,4.569732326607509,4.569732326607509,0.06536327444638,0.034650410549888,0.038587957203284,0.86646,0.06536327444638
1483272000000,4.603757817160486,0.002593928838019,0.038908932570291,0.038044289624285,4.603757817160486,0.039773575516298,9.207515634320972,0.011240358298084,0.028533217218213,0.028533217218213,6.625862,0.013834287136104,0.035450360786265,0.027668574272207,0.024210002488181,0.021616073650162,0.071765364518537,0.000864642946006,4.603757817160486,4.603757817160486,0.071765364518537,0.038044289624285,0.042367504354317,1.004106,0.071765364518537
1483272900000,4.594955830635165,0.002623787011694,0.039356805175417,0.038482209504852,4.594955830635165,0.040231400845982,9.18991166127033,0.011369743717343,0.028861657128639,0.028861657128639,7.060345,0.013993530729037,0.035858422493158,0.027987061458074,0.024488678775815,0.02186489176412,0.07259144065688,0.000874595670565,4.594955830635165,4.594955830635165,0.07259144065688,0.038482209504852,0.042855187857676,1.375673,0.07259144065688
1483273800000,4.587851132832274,0.002616322468276,0.039244837024135,0.03837272953471,4.587851132832274,0.040116944513561,9.175702265664547,0.011337397362528,0.028779547151033,0.028779547151033,6.782759,0.013953719830804,0.035756407066434,0.027907439661607,0.024419009703906,0.021802687235631,0.072384921622294,0.000872107489425,4.587851132832274,4.587851132832274,0.072384921622294,0.03837272953471,0.042733266981836,1.536777,0.072384921622294
1483274700000,4.591508109120718,0.002560338392635,0.038405075889525,0.037551629758646,4.591508109120718,0.039258522020403,9.183016218241436,0.011094799701418,0.028163722318985,0.028163722318985,8.098276,0.013655138094053,0.034991291366011,0.027310276188106,0.023896491664593,0.021336153271958,0.070836028862901,0.000853446130878,4.591508109120718,4.591508109120718,0.070836028862901,0.037551629758646,0.041818860413038,2.222317,0.070836028862901
1483275600000,4.629466260823122,0.002362527992038,0.035437919880567,0.034650410549888,4.629466260823122,0.036225429211247,9.258932521646244,0.010237621298831,0.025987807912416,0.025987807912416,8.134483,0.012600149290868,0.03228788255785,0.025200298581737,0.02205026125902,0.019687733266982,0.06536327444638,0.000787509330679,4.629466260823122,4.629466260823122,0.06536327444638,0.034650410549888,0.038587957203284,2.233517,0.06536327444638
1483276500000,4.617120229157228,0.002545409305797,0.038181139586962,0.037332669818363,4.617120229157228,0.039029609355561,9.234240458314456,0.011030106991789,0.027999502363772,0.027999502363772,7.92931,0.013575516297586,0.034787260512565,0.027151032595173,0.023757153520776,0.021211744214979,0.07042299079373,0.000848469768599,4.617120229157228,4.617120229157228,0.07042299079373,0.037332669818363,0.041575018661359,2.413515,0.07042299079373
1483277400000,4.63105061839768,0.002355063448619,0.035325951729286,0.034540930579746,4.63105061839768,0.036110972878826,9.26210123679536,0.010205274944016,0.02590569793481,0.02590569793481,8.556897,0.012560338392635,0.032185867131127,0.02512067678527,0.021980592187111,0.019625528738492,0.065156755411794,0.00078502114954,4.63105061839768,4.63105061839768,0.065156755411794,0.034540930579746,0.038466036327445,2.360147,0.065156755411794
1483278300000,4.701742195461231,0.00204901716845,0.030735257526748,0.030052251803931,4.701742195461231,0.031418263249565,9.40348439092246,0.008879074396616,0.022539188852948,0.022539188852948,6.022414,0.010928091565066,0.028003234635481,0.021856183130132,0.019124160238865,0.017075143070416,0.05668947499378,0.000683005722817,4.701742195461231,4.701742195461231,0.05668947499378,0.030052251803931,0.033467280418014,2.543545,0.05668947499378
